conv:people_2019072901_67:aug_0:chat_0:chataug_0| anthony chris| [person:anthony m 0-0][person:chris m 1-1]
walt| I can t wait to go to the Smith s| [person:walt m 0-0][person:smith u 8-8]
walt| What do you think we should take with us for dinner| [person:kevin m 2-2][person:we g(walt:kevin) 4-4][person:we g(walt:kevin) 8-8]
walt| Could you ask Ralph what might be good| [person:kevin m 1-1][person:ralph m 3-3]
kevin| Sure I can do that| [person:kevin m 1-1]
kevin| I will call him tonight| [person:kevin m 0-0][person:ralph m 3-3]
walt| What was their address again| [person:their g(smith) 2-2]
kevin| Their address was 1500 Walnut Street| [person:their g(smith) 0-0][location:street s 5-5]
walt| Great Do you think they like Italian food| [person:kevin m 2-2][person:their g(smith) 4-4]
kevin| I m not completely sure but I ll ask Ralph| [person:kevin m 0-0][person:kevin m 6-6][person:ralph m 9-9]
walt| Great That sounds terrific I can t wait to visit| [person:walt m 4-4]
kevin| Me too I will call you later| [person:kevin m 0-0][person:kevin m 2-2][person:walt m 5-5]

conv:people_2019080801_106:aug_0:chat_0:chataug_0| darren william| [person:darren m 0-0][person:william m 1-1]
william| Hey Darren| [person:darren m 1-1]
darren| What s up man|
william| Nothing much just wanted to say I m gonna join a basketball league and wanted to see if you re down| [person:william m 6-6][person:darren m 18-18]
darren| You know I love to play ball I m in| [person:william m 0-0][person:darren m 2-2][person:darren m 7-7]
william| Great I need to fill the other spots I know your friends Ron Howard and Douglas used to play in High School do you think any of them would be game| [person:william m 1-1][person:william m 8-8][person:darren m 10-10][person:friends g() 11-11][person:ron m 12-12][person:howard m 13-13][person:douglas m 15-15][person:darren m 23-23]
darren| Yeah they all keep in pretty good shape and I think they would all be down| [person:friends g() 1-1][person:darren m 9-9][person:friends g() 11-11]
william| Great so let s go and make this happen|
darren| Yes that sounds fun|
william| OK I ll shoot you more details soon| [person:william m 1-1][person:darren m 4-4]
darren| Great thanks and take care|
william| You too buddy| [person:darren m 0-0][person:darren m 2-2]
darren| Thanks Can t wait to see how good you ve gotten| [person:william m 8-8]
william| You know me man I try hard| [person:darren m 0-0][person:william m 2-2][person:william m 4-4]
darren| I know William you ve always been good| [person:darren m 0-0][person:william m 2-2][person:william m 3-3]

conv:people_2019080801_107:aug_0:chat_0:chataug_0| megan teresa| [person:megan f 0-0][person:teresa f 1-1]
megan| Hello Teresa| [person:teresa f 1-1]
teresa| Hi there Megan| [person:megan f 2-2]
megan| Yeah I was thinking if you could do me a favor| [person:megan f 1-1][person:teresa f 5-5][person:megan f 8-8]
teresa| Sure what is it|
megan| My friend Brenda is coming to town but I can t pick her up on that day| [person:megan f 0-0][person:brenda f 1-1][person:brenda f 2-2][location:town s 6-6][person:megan f 8-8][person:brenda f 12-12]
teresa| When is she coming| [person:brenda f 2-2]
megan| She is coming this Friday Can you help pick her up| [person:brenda f 0-0][person:teresa f 6-6][person:brenda f 9-9]
teresa| At what time|
megan| Brenda is landing at 10 am at the airport| [person:brenda f 0-0][location:airport s 8-8]
teresa| Oh I would love to but I have a meeting with John| [person:teresa f 1-1][person:teresa f 6-6][person:john m 11-11]
megan| Well can you switch the meeting to another time I really need you to go pick her up| [person:teresa f 2-2][person:megan f 9-9][person:teresa f 12-12][person:brenda f 16-16]
teresa| Sorry I can t| [person:teresa f 1-1]
megan| If you do I will take you out for dinner| [person:teresa f 1-1][person:megan f 3-3][person:teresa f 6-6]
teresa| Fine|
megan| But that s fine if you can t do it I will ask Catherine to go pick up Brenda She just texts me yes| [person:teresa f 5-5][person:megan f 10-10][person:catherine f 13-13][person:brenda f 18-18][person:catherine f 19-19][person:megan f 22-22]

conv:people_2019080801_108:aug_0:chat_0:chataug_0| robert william| [person:robert m 0-0][person:william m 1-1]
william| Hey Robert| [person:robert m 1-1]
robert| Hello William How are you| [person:william m 1-1][person:william m 4-4]
william| I m great Guess what| [person:william m 0-0]
robert| I have no good guesses What| [person:robert m 0-0]
william| I made it as a participant on the show Jeopardy| [person:william m 0-0]
robert| Oh wow You ve always dreamt of that Congratulations| [person:william m 2-2]
william| I m very excited to get on and to meet Peter Trebek| [person:william m 0-0][person:peter m 10-10]
william| What an awesome guy So smart|
robert| Oh i know| [person:robert m 1-1]
william| Which topics should i prepare on Have you been watching lately| [person:william m 3-3][person:robert m 7-7]
robert| I m not sure But our friend Nicholas is always up to date on the show and was even a participant in the past| [person:robert m 0-0][person:our g(william:robert) 5-5][person:friend u 6-6][person:nicholas m 7-7]
robert| He s probably your best bet for advice| [person:nicholas m 0-0][person:robert m 3-3]
william| I amost forgot about that entirely| [person:william m 0-0]
william| Thanks for your help Robert| [person:robert m 2-2][person:robert m 4-4]
william| Talk to you later| [person:robert m 2-2]
robert| Bye Good luck|

conv:people_2019080801_110:aug_0:chat_0:chataug_0| eric tony| [person:eric m 0-0][person:tony m 1-1]
tony| Hey Eric How s it going| [person:eric m 1-1]
eric| Hi Tony I m good What s going on this weekend| [person:tony m 1-1][person:eric m 2-2]
tony| Are you interested ion seeing a movie sat| [person:eric m 1-1]
eric| Sure Is anyone else around to go| [person:anyone g() 2-2]
tony| I was thinking of also asking Mark Harry Kenneth| [person:tony m 0-0][person:mark m 6-6][person:harry m 7-7][person:kenneth m 8-8]
eric| That s a good idea I m sure they will be interested| [person:eric m 5-5][person:they g(mark:harry:kenneth) 8-8]
tony| Ok great I was thinking the 8pm movie| [person:tony m 2-2]
eric| Cool I will see Kenneth later so I ll ask him| [person:eric m 1-1][person:kenneth m 4-4][person:eric m 7-7][person:kenneth m 10-10]
tony| Ok great I ll text Mark Harry| [person:tony m 2-2][person:mark m 5-5][person:harry m 6-6]
eric| Sound like a plan talk to you later we ll confirm the plans| [person:tony m 6-6][person:we g(tony:eric:mark:harry:kenneth) 8-8]
tony| Perfect catch you later| [person:eric m 2-2]
eric| Popcorn is on me| [person:eric m 3-3]

conv:people_2019080801_111:aug_0:chat_0:chataug_0| stephen willie| [person:stephen m 0-0][person:willie m 1-1]
willie| Hi Stephen are you coming to the movie| [person:stephen m 1-1][person:stephen m 3-3]
stephen| Where are you planning on going| [person:willie m 2-2]
willie| That movie theater near your house We want to see the new action flick out| [location:theater s 2-2][person:stephen m 4-4][location:house s 5-5][person:we g(willie) 6-6]
stephen| i m not sure| [person:stephen m 0-0]
willie| You should come Jack Jesse and Kevin are going to be there I know you haven t seen them in awhile| [person:stephen m 0-0][person:jack m 3-3][person:jesse m 4-4][person:kevin m 6-6][person:willie m 12-12][person:stephen m 14-14][person:them g(jack:jesse:kevin) 18-18]
stephen| I would love to see those guys It s been a long time| [person:stephen m 0-0]
willie| We re going to the 8 oclock show tell me you ll come| [person:we g(willie:jack:jesse:kevin) 0-0][person:willie m 9-9][person:stephen m 10-10]
stephen| Okay I ll be there How long is the movie| [person:stephen m 1-1][location:theater s 4-4]
willie| 2 hours Looking forward to seeing you I know Kevin will be jacked that you are coming too| [person:stephen m 6-6][person:willie m 7-7][person:kevin m 9-9][person:stephen m 14-14]
stephen| See you there 8 oclock| [person:willie m 1-1][location:theater s 2-2]
willie| Bring some cash|
willie| Hey want me to pick you up| [person:willie m 2-2][person:stephen m 5-5]
stephen| That would be cool|

conv:people_2019080801_112:aug_0:chat_0:chataug_0| ethan timothy| [person:ethan m 0-0][person:timothy m 1-1]
ethan| Hey Timothy what do you think about having a dinner party tonight Lets do it at 8 p m| [person:timothy m 1-1][person:timothy m 4-4]
timothy| Sounds good Ethan Who would we invite thought| [person:ethan m 2-2][person:we g(ethan:timothy) 5-5]
ethan| I was thinking Doug Wilson Nathan and Andrew| [person:ethan m 0-0][person:doug m 3-3][person:wilson m 4-4][person:nathan m 5-5][person:andrew m 7-7]
timothy| I am fine with all of that except Andrew He annoys me| [person:timothy m 0-0][person:andrew m 8-8][person:andrew m 9-9][person:timothy m 11-11]
ethan| Well we can t invite everyone else and not him That is not cool| [person:we g(ethan:timothy) 1-1][person:everyone g(doug:wilson:nathan:andrew) 5-5][person:andrew m 9-9]
timothy| Fine I guess we can invite him What should we make| [person:timothy m 1-1][person:we g(ethan:timothy) 3-3][person:andrew m 6-6][person:we g(ethan:timothy) 9-9]
ethan| I was thinking either make Italian food or order Chinese| [person:ethan m 0-0]
timothy| Well I really don t feel like cooking so how about Chinese| [person:timothy m 1-1]
ethan| I knew you d say that so I already ordered the Chinese| [person:ethan m 0-0][person:timothy m 2-2][person:ethan m 7-7]
timothy| Wow why bother asking me then I ll see you later bro| [person:timothy m 4-4][person:timothy m 6-6][person:ethan m 9-9]
ethan| You will get over it See ya| [person:timothy m 0-0]

conv:people_2019080801_113:aug_0:chat_0:chataug_0| amanda jacqueline| [person:amanda f 0-0][person:jacqueline f 1-1]
jacqueline| hi so my trip to Los Angeles is this weekend| [person:jacqueline f 2-2][location:los_angeles s 5-6]
amanda| I know I am very excited to see you| [person:amanda f 0-0][person:amanda f 2-2][person:jacqueline f 8-8]
jacqueline| As am i we are getting together with the crew including Joyce Dan and Peter as well right| [person:jacqueline f 2-2][person:we g(jacqueline:amanda) 3-3][person:joyce f 11-11][person:dan m 12-12][person:peter m 14-14]
amanda| for sure the more the merrier|
jacqueline| so is everyone living close to each other in los Angeles or far apart| [person:we g(jacqueline:amanda:joyce:dan:peter) 2-2][location:los_angeles s 9-10]
amanda| some of us are farther than others| [person:we g(jacqueline:amanda:joyce:dan:peter) 2-2][person:we g(jacqueline:amanda:joyce:dan:peter) 6-6]
jacqueline| so where do everyone live and where should we plan and meet then| [person:we g(jacqueline:amanda:joyce:dan:peter) 3-3][person:we g(jacqueline:amanda:joyce:dan:peter) 8-8]
amanda| I am closest to the airport then Dan Joyce and Peter is the farthest| [person:amanda f 0-0][person:dan m 7-7][person:joyce f 8-8][person:peter m 10-10]
jacqueline| So where should we meet| [person:we g(jacqueline:amanda:joyce:dan:peter) 3-3]
amanda| I think Dan does not like to drive far so we should meet somewhere between me and Dan maybe meet at my place and go from there| [person:amanda f 0-0][person:dan m 2-2][person:we g(jacqueline:amanda:joyce:dan:peter) 10-10][person:amanda f 15-15][person:dan m 17-17][person:amanda f 21-21][location:place s 22-22]
jacqueline| sounds good see you this weekend| [person:amanda f 3-3]
jacqueline| see you| [person:amanda f 1-1]

conv:people_2019080801_114:aug_0:chat_0:chataug_0| hannah janet| [person:hannah f 0-0][person:janet f 1-1]
janet| Have you decided on any of the classes you want to take next semester| [person:hannah f 1-1][person:hannah f 8-8]
hannah| No not yet I am having a hard time choosing How about you| [person:hannah f 3-3][person:janet f 12-12]
janet| Same here Trouble choosing from all of the different choices|
hannah| Well I think we should choose them together and pick some of the same classes so maybe we will get the same teacher for at least a class or two| [person:hannah f 1-1][person:we g(janet:hannah) 3-3][person:them g() 6-6][person:we g(janet:hannah) 17-17]
janet| Well I know I have to take Biology but you already took that last year| [person:janet f 1-1][person:janet f 3-3][person:hannah f 9-9]
hannah| Yes I did so for that class I will have to pick something different| [person:hannah f 1-1][person:hannah f 7-7]
janet| I wonder what classes Melinda Carol and Sarah are going to take| [person:janet f 0-0][person:melinda f 4-4][person:carol f 5-5][person:sarah f 7-7]
hannah| I am not sure but I know Sarah has not taken Biology yet| [person:hannah f 0-0][person:hannah f 5-5][person:sarah f 7-7]
janet| I need to get ahold of her then and tell her to take it this semester so hopefully we can do it together| [person:janet f 0-0][person:sarah f 6-6][person:sarah f 10-10][person:we g(janet:hannah) 18-18]
hannah| She should be here soon| [person:sarah f 0-0]

conv:people_2019080801_116:aug_0:chat_0:chataug_0| benjamin derrick| [person:benjamin m 0-0][person:derrick m 1-1]
derrick| Benny boy what is up|
benjamin| you know I don t like that nickname It is Benjamin| [person:derrick m 0-0][person:benjamin m 2-2][person:benjamin m 10-10]
benjamin| whats up|
derrick| I know I am just kidding chill| [person:derrick m 0-0][person:derrick m 2-2]
derrick| nothing much|
derrick| lets play poker soon|
derrick| its been a while and I need to make money| [person:derrick m 5-5]
benjamin| you are always the first one out| [person:derrick m 0-0]
