conv:people_2019090101_269:aug_0:chat_0:chataug_0| april julia| [person:april f 0-0][person:julia f 1-1]
cynthia| That s fine I will join you in an hour| [person:cynthia f 3-3][person:gregory m 6-6]

conv:chats_1126_11:aug_0:chat_0:chataug_0| beverly jeffrey| [person:beverly f 0-0][person:jeffrey m 1-1]
jeffrey| Hi Beverly What are you doing I want to talk to you| [person:beverly f 1-1][person:beverly f 4-4][person:jeffrey m 6-6][person:beverly f 11-11]
beverly| Hi Jeffrey I am doing my office work Yes tell me what is the matter| [person:jeffrey m 1-1][person:beverly f 2-2][person:beverly f 5-5][location:office s 6-6][person:beverly f 10-10]
jeffrey| Okay My siblings Nate and Marie were planning to visit us| [person:jeffrey m 1-1][person:nate m 3-3][person:marie f 5-5][person:us g(jeffrey:beverly) 10-10]
beverly| Wow That s nice to hear When they are planning to come hear| [person:they g(nate:marie) 7-7]
jeffrey| They have a plan for this weekend So suggest me some of the places to take them for a visit| [person:they g(nate:marie) 0-0][person:jeffrey m 9-9][location:places g() 13-13][person:they g(nate:marie) 16-16]
beverly| Oh sure this time we will take them to some historical places like Mahabalipuram and Tanjore| [person:us g(jeffrey:beverly) 4-4][person:they g(nate:marie) 7-7][location:places g() 11-11][location:mahabalipuram s 13-13][location:tanjore s 15-15]
jeffrey| Oh That s nice to hear Last time we took them to amusement park but they didn t like it| [person:us g(jeffrey:beverly) 8-8][person:they g(nate:marie) 10-10][location:amusement_park s 12-13][person:they g(nate:marie) 15-15][location:amusement_park s 19-19]
beverly| Yes So I will arrange a car for the trip by tomorrow| [person:beverly f 2-2][location:trip s 9-9]
jeffrey| Okay I will pack our things and be ready for the trip| [person:jeffrey m 1-1][person:us g(jeffrey:beverly) 4-4][location:trip s 11-11]
beverly| Okay We will have a valuable time with them| [person:us g(jeffrey:beverly) 1-1][person:they g(nate:marie) 8-8]

conv:chats_1126_12:aug_0:chat_0:chataug_0| daniel millie| [person:daniel m 0-0][person:millie f 1-1]
daniel| Hey Millie I need a favor from you I need you to pick some cigars for me| [person:millie f 1-1][person:daniel m 2-2][person:millie f 7-7][person:daniel m 8-8][person:millie f 10-10][person:daniel m 16-16]
millie| Have you gone mad Don t you remember the advice given by the doctor during last checkup| [person:daniel m 1-1][person:daniel m 6-6][person:doctor u 13-13]
daniel| I remember everything But try to understand my situation right now My hands are shivering Please help me| [person:daniel m 0-0][person:daniel m 7-7][person:daniel m 11-11][person:daniel m 17-17]
millie| I need to speak with Jacqueline regarding this She will surely curse me If I do according to your wish| [person:millie f 0-0][person:jacqueline f 5-5][person:jacqueline f 8-8][person:millie f 12-12][person:millie f 14-14][person:daniel m 18-18]
daniel| Its better to live for 1 day happily than to live for 100 days sadly I have started loosing myself I am addicted to it| [person:daniel m 15-15][person:daniel m 19-19][person:daniel m 20-20]
millie| It s all up in your mind Try to control it and understand that you can t do this anymore| [person:daniel m 5-5][person:daniel m 14-14]
millie| Please try to understand If I do this and if something happens to you because of this I ll regret that my whole life Please don t pull me into that situation| [person:millie f 5-5][person:daniel m 13-13][person:millie f 17-17][person:millie f 21-21][person:millie f 28-28]
daniel| You won t understand now Everyone will get to know about my issue only when after I get mad without cigars I am sure it will be late by then| [person:millie f 0-0][person:everyone g(millie:jacqueline:doctor) 5-5][person:daniel m 11-11][person:daniel m 16-16][person:daniel m 21-21]
daniel| You think that you are trying to help me But I am very sorry to say that you have failed I have tried all possible ways to make you understand I have lost| [person:millie f 0-0][person:millie f 3-3][person:millie f 17-17][person:daniel m 20-20][person:millie f 28-28][person:daniel m 30-30]
millie| I don t want you to loose and I don t want to loose you I ll get the cigars Make sure Jacqueline don t know this| [person:millie f 0-0][person:daniel m 4-4][person:millie f 8-8][person:daniel m 14-14][person:millie f 15-15][person:jacqueline f 22-22]

conv:chats_1126_13:aug_0:chat_0:chataug_0| alexis marilyn| [person:alexis f 0-0][person:marilyn f 1-1]
marilyn| Hey Alexis are you interested in playing soccer now| [person:alexis f 1-1][person:alexis f 3-3]
alexis| Of course I would love to play that sport But I need to ask my Dad s permission for that| [person:alexis f 2-2][person:alexis f 10-10][person:alexis f 14-14][person:dad m 15-15]
marilyn| Fine then try to go and convince him Tell him that we are playing in my house and we ll be very careful| [person:dad m 7-7][person:dad m 9-9][person:we g(marilyn:alexis) 11-11][person:marilyn f 15-15][person:we g(marilyn:alexis) 18-18]
alexis| I have informed him and he has agreed for that I am very happy about it| [person:alexis f 0-0][person:dad m 3-3][person:dad m 5-5][person:alexis f 10-10]
marilyn| What did you ask to Harry Was he really happy about it| [person:alexis f 2-2][person:harry m 5-5][person:harry m 7-7]
alexis| I told him that I am going to play along with Diane at his home He was very normal about it| [person:alexis f 0-0][person:harry m 2-2][person:alexis f 4-4][person:diane f 11-11][person:diane f 13-13][location:home s 14-14][person:harry m 15-15]
marilyn| Did he give you any kind of warnings as all parent does| [person:harry m 1-1][person:alexis f 3-3][person:parent g(harry) 10-10]
alexis| Yes he told me to be careful and not to go outside your compound wall| [person:harry m 1-1][person:alexis f 3-3][person:marilyn f 12-12]
marilyn| That s what I was wondering I d have really surprised if he d have forgotten those statements| [person:marilyn f 3-3][person:marilyn f 6-6][person:harry m 12-12]
alexis| Very funny Come let s go and play|

conv:chats_1126_14:aug_0:chat_0:chataug_0| hannah stephanie| [person:hannah f 0-0][person:stephanie f 1-1]
stephanie| Hey Hannah there s no much time left for the tennis tournament| [person:hannah f 1-1]
hannah| Yes Stephanie we have to focus on our practice sessions| [person:stephanie f 1-1][person:our g(stephanie:hannah) 2-2][person:our g(stephanie:hannah) 7-7]
stephanie| Harriet and Amanda are our biggest competitors I don t want to lose to them again| [person:harriet f 0-0][person:amanda f 2-2][person:our g(stephanie:hannah:harriet:amanda) 4-4][person:stephanie f 7-7][person:our g(stephanie:hannah:harriet:amanda) 14-14]
hannah| So firstly we wake up early and do the morning fitness and then head out to the gym| [person:our g(stephanie:hannah:harriet:amanda) 2-2][location:gym s 17-17]
stephanie| After gym session we shall have 4 hours of practice and then go for lunch| [location:gym s 1-1][person:our g(stephanie:hannah:harriet:amanda) 3-3][location:lunch s 14-14]
hannah| Then we shall have a rest for a hour and return to the courts and practice for 2 more hours| [person:our g(stephanie:hannah:harriet:amanda) 1-1]
stephanie| We also need to have a proper focus on our diet and plan against the weaknesses of Harriet and Amanda| [person:our g(stephanie:hannah:harriet:amanda) 0-0][person:our g(stephanie:hannah:harriet:amanda) 9-9][person:harriet f 17-17][person:amanda f 19-19]
hannah| Yes Stephanie both Harriet and Amanda lack coordination in their game We can win by focusing on that area| [person:stephanie f 1-1][person:harriet f 3-3][person:amanda f 5-5][person:our g(stephanie:hannah:harriet:amanda) 9-9][person:our g(stephanie:hannah:harriet:amanda) 11-11]
stephanie| So by this way we can easily mix our hard work and game skills to win over them| [person:our g(stephanie:hannah:harriet:amanda) 4-4][person:our g(stephanie:hannah:harriet:amanda) 8-8][person:our g(stephanie:hannah:harriet:amanda) 17-17]
hannah| We can come out this year in a better form register our win| [person:our g(stephanie:hannah:harriet:amanda) 0-0][person:our g(stephanie:hannah:harriet:amanda) 11-11]

conv:chats_1126_16:aug_0:chat_0:chataug_0| janet jason| [person:janet f 0-0][person:jason m 1-1]
jason| Hi Janet The plan to go to the lake house this Sunday is on right| [person:janet f 1-1]
janet| Yeah we are all set We are going to have so much fun| [person:janet_and_jason g(jason:janet) 1-1][person:janet_and_jason g(jason:janet) 5-5]
jason| Do you think we should invite Barbara and Marcus too| [person:janet f 1-1][person:janet_and_jason g(jason:janet) 3-3][person:barbara f 6-6][person:marcus m 8-8]
janet| That sounds like a good idea will they be interested| [person:barbara_and_marcus g(barbara:marcus) 7-7]
jason| I am sure they will be If they come this will be their first time at a lake house| [person:jason m 0-0][person:barbara_and_marcus g(barbara:marcus) 3-3][person:barbara_and_marcus g(barbara:marcus) 7-7][person:barbara_and_marcus g(barbara:marcus) 12-12]
janet| In that case we should make it special for them| [person:janet_and_jason g(jason:janet) 3-3][person:barbara_and_marcus g(barbara:marcus) 9-9]
jason| Alright what do you have in mind| [person:janet f 3-3]
janet| How about renting their favorite movies and getting their favorite food| [person:barbara_and_marcus g(barbara:marcus) 3-3][person:barbara_and_marcus g(barbara:marcus) 8-8]
jason| Okay I ll do the arrangements You invite them| [person:jason m 1-1][person:janet f 6-6][person:barbara_and_marcus g(barbara:marcus) 8-8]
janet| Alright I ll talk to them and let you know what they said| [person:janet f 1-1][person:barbara_and_marcus g(barbara:marcus) 5-5][person:jason m 8-8][person:barbara_and_marcus g(barbara:marcus) 11-11]

conv:chats_1126_20:aug_0:chat_0:chataug_0| ron val| [person:ron m 0-0][person:val f 1-1]
val| Hey Ron Shall we plan a surprise birthday party for Darren| [person:ron m 1-1][person:we g(val:ron) 3-3][location:birthday_party s 7-8][person:darren m 10-10]
ron| That s a good idea Do you have anything special in mind| [person:val f 6-6]
val| Yeah Darren would love all of our friends to attend the party| [person:darren m 1-1][person:we g(val:ron) 6-6][person:friends g() 7-7][location:birthday_party s 11-11]
ron| You are right I would like that too but Randy might cause problems in the party| [person:val f 0-0][person:ron m 3-3][person:randy m 9-9][location:birthday_party s 15-15]
val| Yeah he exceeded his limits in the last two gatherings that we had Do you think it s a good idea to invite him| [person:randy m 1-1][person:randy m 3-3][person:we g(val:ron) 11-11][person:ron m 14-14][person:randy m 23-23]
ron| No we should definitely avoid inviting him| [person:we g(val:ron) 1-1][person:randy m 6-6]
val| But he is one of the best friends that Darren have and Darren would fell happy if he attends the party| [person:randy m 1-1][person:randy m 7-7][person:darren m 9-9][person:darren m 12-12][person:randy m 17-17][location:birthday_party s 20-20]
ron| I think we should try to convince him that it is not a good idea to have him at the party| [person:ron m 0-0][person:we g(val:ron) 2-2][person:darren m 7-7][person:randy m 17-17][location:birthday_party s 20-20]
val| Yeah I think that s a good idea to go with| [person:val f 1-1]
ron| We will talk to him tonight and see what he thinks about this| [person:we g(val:ron) 0-0][person:darren m 4-4][person:darren m 9-9]

conv:chats_1126_21:aug_0:chat_0:chataug_0| abigail henry| [person:abigail f 0-0][person:henry m 1-1]
henry| Hey Abigail shall we go to the club tonight| [person:abigail f 1-1][person:we g(henry:abigail) 3-3][location:club s 7-7]
abigail| Hey That s a good idea Let s invite more people to join us| [person:we g(henry:abigail) 13-13]
henry| I m thinking to invite our neighbors Albert and Maria| [person:henry m 0-0][person:we g(henry:abigail) 5-5][person:neighbors g() 6-6][person:albert m 7-7][person:maria f 9-9]
abigail| That s a good idea I like Maria to be present with us| [person:abigail f 5-5][person:maria f 7-7][person:we g(henry:abigail) 12-12]
henry| Yeah and I love Albert s company very much as we both share some common interests| [person:henry m 2-2][person:albert m 4-4][person:we g(henry:albert) 10-10]
abigail| I like Maria very much but I am not sure about it| [person:abigail f 0-0][person:maria f 2-2][person:abigail f 6-6]
henry| Why aren t you sure about it| [person:abigail f 3-3]
abigail| I think Albert has a crush on Maria and I feel bad for Maria if it is true| [person:abigail f 0-0][person:albert m 2-2][person:maria f 7-7][person:abigail f 9-9][person:maria f 13-13]
henry| Oh okay but still I ll invite them and let s see how it goes in the club| [person:henry m 4-4][person:neighbors g(albert:maria) 7-7][location:club s 17-17]
abigail| Okay I will meet you at night| [person:abigail f 1-1][person:henry m 4-4]

conv:chats_1126_23:aug_0:chat_0:chataug_0| brandie mason| [person:brandie f 0-0][person:mason m 1-1]
brandie| Hey Mason I need to tell you something very important Please do not let this out to anyone else| [person:mason m 1-1][person:brandie f 2-2][person:mason m 6-6][person:anyone g() 17-17]
mason| Hai Brandie after a long time Yeah sure you can trust me I wont share the information to anyone| [person:brandie f 1-1][person:brandie f 8-8][person:mason m 11-11][person:mason m 12-12][person:anyone g() 18-18]
brandie| I cannot hold this huge secret anymore I have already talked about this to Dane and asked for his advice I need to share this with you so that I can get the best advice possible| [person:brandie f 0-0][person:brandie f 7-7][person:his m 18-18][person:brandie f 20-20][person:mason m 26-26][person:brandie f 29-29]
