conv:people_2019081802_39:aug_0:chat_0:chataug_0| alexander johnny| [person:alexander m 0-0][person:johnny m 1-1]
megan| Cool Well I guess it s just you and me then Why don t we have dinner that night| [person:cynthia f 2-2][person:megan f 7-7][person:megan f 9-9][person:they g(cynthia:megan:jaco) 14-14]
cynthia| Sounds good Should we do it a little earlier than we were planning then| [person:they g(cynthia:megan:jaco) 3-3][person:they g(cynthia:megan:jaco) 10-10]
megan| Why not How do you feel about going to that new steakhouse| [person:megan f 4-4]
cynthia| Great idea We deserve a treat and that seems like a nice place for it| [person:they g(cynthia:megan:jaco) 2-2][location:place s 12-12]
megan| Yeah we haven t had a nice dinner out in too long That s going to be fun| [person:they g(cynthia:megan:jaco) 1-1]

conv:people_2019081901_4:aug_0:chat_0:chataug_0| bryan scott| [person:bryan m 0-0][person:scott m 1-1]
bryan| Hey Scott what s going on| [person:scott m 1-1]
scott| Hi Bryan how is your family doing| [person:bryan m 1-1][person:bryan m 4-4][person:bryan m 5-5]
bryan| My family is great how about yours| [person:bryan m 0-0][person:bryan m 1-1][person:scott m 6-6]
scott| Good Do you want to go to breakfast together| [person:bryan m 2-2]
bryan| Sure that sounds terrific How about we invite some friends| [person:bryan m 6-6][person:bryan m 9-9]
scott| Yes let s invite Douglas and Robert to breakfast| [person:douglas m 4-4][person:robert m 6-6]
bryan| Well I was thinking maybe just Robert because Douglas is particular about always needing Italian| [person:bryan m 1-1][person:robert m 6-6][person:douglas m 8-8]
scott| That s okay because they have a buffet with Italian and other cultures on 5th street We could go there| [person:they g(douglas:robert) 4-4][location:street s 15-15][person:we g(scott:douglas:robert) 16-16][location:street s 19-19]
bryan| Okay that sounds like a plan Let s do it|
scott| Great I ll meet you there at 10 am I can call our friends and have them meet us too| [person:scott m 1-1][person:bryan m 4-4][person:scott m 9-9][person:our g(bryan:scott:douglas:robert) 12-12][person:friends g(bryan:douglas:robert) 13-13][person:our g(bryan:scott:douglas:robert) 16-16]

conv:people_2019081901_5:aug_0:chat_0:chataug_0| alexander johnny| [person:alexander m 0-0][person:johnny m 1-1]
alexander| Hey Johnny you know I ma planning a party for Amy and David Jeffrey right| [person:johnny m 1-1][person:johnny m 2-2][person:alexander m 4-4][person:amy f 10-10][person:david m 12-12][person:jeffrey m 13-13]
johnny| Yes I a know Do you need some help| [person:johnny m 1-1][person:alexander m 5-5]
alexander| I sure do I am unsure where to have it| [person:alexander m 0-0][person:alexander m 3-3]
johnny| Well what are some of their favorite places| [person:their g(alexander:amy:david:jeffrey) 5-5][location:places g() 7-7]
alexander| Amy loves the park but I am unsure about David| [person:amy f 0-0][location:park s 3-3][person:alexander m 5-5][person:david m 9-9]
johnny| Other than football I am out of suggestions| [person:johnny m 3-3]
alexander| That won t work I need something else| [person:alexander m 4-4]
johnny| I think you should ask Edgar he might know what David likes| [person:johnny m 0-0][person:alexander m 2-2][person:edgar m 5-5][person:alexander m 6-6][person:david m 10-10]
alexander| Thanks great idea|
johnny| Your welcome Keep me posted on the details| [person:johnny m 3-3]

conv:people_2019081901_7:aug_0:chat_0:chataug_0| dennis pedro| [person:dennis m 0-0][person:pedro m 1-1]
pedro| Have you decided if you want to take the Smiths up on their offer for a movie at their house| [person:dennis m 1-1][person:dennis m 4-4][person:smiths g() 9-9][person:smiths g() 12-12][person:smiths g() 18-18]
dennis| Sure why not It sounds like fun Tom said he wanted to go too| [person:tom m 7-7][person:tom m 9-9]
pedro| Excellent He s always fun to hang out with We should probably bring something with us right| [person:tom m 1-1][person:pedro_dennis g(pedro:dennis) 9-9][person:pedro_dennis g(pedro:dennis) 15-15]
dennis| I think that would be polite yeah I never know what to bring for stuff like this though| [person:dennis m 0-0][person:dennis m 7-7]
pedro| Neither do I It s kind of hard to predict what the Smiths would like you know| [person:pedro m 2-2][person:smiths g() 12-12][person:dennis m 15-15]
dennis| They re not really beer drinkers and they don t eat a lot of snacks so I don t know| [person:smiths g() 0-0][person:smiths g() 7-7][person:dennis m 16-16]
pedro| I know we have to bring something though It s just common courtesy| [person:pedro m 0-0][person:pedro_dennis g(pedro:dennis) 2-2]
dennis| Yeah we have to come up with something And it s getting late so we don t have a lot of time| [person:pedro_dennis g(pedro:dennis) 1-1][person:pedro_dennis g(pedro:dennis) 14-14]
pedro| You know what you should call Tom since he knows them better than we do He d probably have an idea or two| [person:dennis m 0-0][person:dennis m 3-3][person:tom m 6-6][person:tom m 8-8][person:smiths g() 10-10][person:pedro_dennis g(pedro:dennis) 13-13][person:tom m 15-15]
dennis| Great idea I ll give him a call right now and see| [person:dennis m 2-2][person:tom m 5-5]

conv:people_2019081901_9:aug_0:chat_0:chataug_0| alice sherrie| [person:alice f 0-0][person:sherrie f 1-1]
alice| I am ready for the party| [person:alice f 0-0]
sherrie| Me too Do you know if Andrea is coming| [person:sherrie f 0-0][person:alice f 3-3][person:andrea f 6-6]
alice| Andrea is comiong and she is bring drinks| [person:andrea f 0-0][person:andrea f 4-4]
sherrie| Tiffany said she was bringing a cake she baked| [person:tiffany f 0-0][person:tiffany f 2-2][person:tiffany f 7-7]
alice| Katherine said she is bringing some deli sandwiches and i prepared some meatballs| [person:katherine f 0-0][person:katherine f 2-2][person:sherrie f 9-9]
sherrie| I am bringing potato chips and some mac n cheese| [person:sherrie f 0-0]
alice| The music is a no brainer but i also have some poker cards UNO cards and a couple board games if anyone wants to do somehting like that| [person:alice f 7-7][person:anyone u 21-21]
sherrie| I can bring 1 or 2 movies something new and something classic| [person:sherrie f 0-0]
alice| We will need some platescupsforks| [person:we g(alice:sherrie:andrea:andrea:tiffany:katherine:anyone) 0-0]
sherrie| I will ask Tiffany if she can bring them If not I ll go get some| [person:sherrie f 0-0][person:tiffany f 3-3][person:tiffany f 5-5][person:them g(andrea:andrea:tiffany:katherine:anyone) 8-8][person:sherrie f 11-11]
alice| Sounds great I think we got everything covered Food and entertainment| [person:alice f 2-2][person:we g(alice:sherrie:andrea:andrea:tiffany:katherine:anyone) 4-4]
sherrie| This is going to be a great party|

conv:people_2019081901_10:aug_0:chat_0:chataug_0| christopher julia| [person:christopher m 0-0][person:julia f 1-1]
christopher| Its been a long week Julia| [person:julia f 5-5]
julia| Yes i miss curry goat| [person:christopher m 1-1]
christopher| Are you for real| [person:christopher m 1-1]
julia| Yes|
christopher| Can you join us today at the Jamaican Cafe| [person:christopher m 1-1][person:us g(christopher:julia) 3-3]
julia| Who is us Do they have curry goat| [person:us g(christopher:julia) 2-2][person:they g(christopher:julia) 4-4]
christopher| Yes they do| [person:they g(christopher:julia) 1-1]
christopher| Us my friends abd I| [person:_u f 0-0][person:christopher m 1-1][person:friends g(christopher:julia) 2-2][person:christopher m 4-4]
julia| Who are they| [person:christopher m 2-2]
christopher| Karen meredith and bob| [person:karen f 0-0][person:meredith f 1-1][person:bob m 3-3]
julia| But i dont know them| [person:christopher m 1-1][person:them g(christopher:julia:karen:meredith:bob) 4-4]
christopher| You will know them today lol| [person:christopher m 0-0][person:them g(christopher:julia:karen:meredith:bob) 3-3]
julia| Who are they| [person:they g(christopher:julia:karen:meredith:bob) 2-2]
christopher| My former classmates they are the best company youll ever have| [person:christopher m 0-0][person:classmates g(christopher:julia:karen:meredith:bob) 2-2][person:they g(christopher:julia:karen:meredith:bob) 3-3]
julia| Haha I let you know| [person:christopher m 1-1][person:christopher m 3-3]
christopher| Is that a yes|

conv:people_2019081901_12:aug_0:chat_0:chataug_0| alice sherrie| [person:alice f 0-0][person:sherrie f 1-1]
alice| I am ready for the party| [person:alice f 0-0][location:party s 5-5]
sherrie| Me too Do you know if Andrea is coming| [person:alice f 0-0][person:alice f 3-3][person:alice f 6-6]
alice| Andrea is comiong and she is bring drinks| [person:alice f 0-0][person:alice f 4-4]
sherrie| Tiffany said she was bringing a cake she baked| [person:alice f 0-0][person:alice f 2-2][person:alice f 7-7]
alice| Katherine said she is bringing some deli sandwiches and i prepared some meatballs| [person:alice f 0-0][person:alice f 2-2][person:alice f 9-9]
sherrie| I am bringing potato chips and some mac n cheese| [person:alice f 0-0]
alice| The music is a no brainer but i also have some poker cards UNO cards and a couple board games if anyone wants to do somehting like that| [person:alice f 7-7][person:alice f 21-21]
sherrie| I can bring 1 or 2 movies something new and something classic| [person:alice f 0-0]
alice| We will need some platescupsforks| [person:alice f 0-0]
sherrie| I will ask Tiffany if she can bring them If not I ll go get some| [person:alice f 0-0][person:alice f 3-3][person:alice f 5-5][person:alice f 8-8][person:alice f 11-11]
alice| Sounds great I think we got everything covered Food and entertainment| [person:alice f 2-2][person:alice f 4-4]
sherrie| This is going to be a great party| [location:party s 7-7]

conv:people_2019081901_14:aug_0:chat_0:chataug_0| bob ralph| [person:bob m 0-0][person:ralph m 1-1]
bob| Its been a while|
ralph| Sure lets hook up at our usual spot| [person:our g(bob:ralph) 5-5]
bob| Yeah 5pm tonight|
ralph| Awesome now can we invite someone| [person:we g(bob:ralph) 3-3][person:someone u 5-5]
bob| Definitly why not|
ralph| Can we invite George| [person:we g(bob:ralph) 1-1][person:george m 3-3]
bob| No he is too full of himself i dont like his company| [person:george m 1-1][person:george m 6-6][person:bob m 7-7][person:george m 10-10]
ralph| Haha Are you forreal| [person:bob m 2-2]
bob| Yes maybe ricky He is so lively| [person:ricky m 2-2][person:ricky m 3-3]
ralph| Ricky is lively but judgemental he is choosy too| [person:ricky m 0-0][person:ricky m 5-5]
bob| So|
bob| you dont like him either| [person:ralph m 0-0][person:ricky m 3-3]
ralph| Yes I know someone else| [person:ralph m 1-1][person:someone u 3-3]
ralph| Walter| [person:walter m 0-0]
bob| Awesome he is the best give him a call| [person:walter m 1-1][person:walter m 6-6]
ralph| Right away|

conv:people_2019081901_15:aug_0:chat_0:chataug_0| roger william| [person:roger m 0-0][person:william m 1-1]
william| So are you ready for the big game| [person:roger m 2-2]
roger| Yessss Getting ready to get off work here in a bit| [location:here s 7-7]
roger| Remember to bring your own beer| [person:william m 3-3]
william| Right on I ll stop by the pizza place and get us a couple of supremes| [person:william m 2-2][location:pizza_place s 8-8][person:us g(william:roger) 11-11]
roger| Sounds great I really need to start watching my weight I might just make a salad but you do you| [person:roger m 2-2][person:roger m 8-8][person:roger m 10-10][person:william m 17-17][person:william m 19-19]
william| Knowing Doug you ll be in good company That guy can lift a cow And he eats like one too| [person:doug m 1-1][person:william m 2-2][person:doug m 15-15]
william| Doug eats a lot| [person:doug m 0-0]
roger| Oh I got it| [person:roger m 1-1]
roger| I m glad you decided to invite Billy too He s going through some hard times| [person:roger m 0-0][person:william m 3-3][person:billy m 7-7][person:billy m 9-9]
william| Yeah he is We ve gotta make sure and cheer him up| [person:billy m 1-1][person:we g(william:roger) 3-3][person:billy m 10-10]
roger| Women just are not his specialty| [person:billy m 4-4]
william| I get that| [person:william m 0-0]
william| So my house or yours| [person:william m 1-1][person:roger m 4-4]
roger| I think I d rather go to yours this time My wife s not in a great mood| [person:roger m 0-0][person:roger m 2-2][person:william m 7-7][person:roger m 10-10][person:wife f 11-11]
william| Gotcha No problem bro|
roger| Do we want pizza from Pizza Hut or Dominoes| [person:we g(william:roger) 1-1][location:pizza_hut s 6-6][location:dominoes s 8-8]
william| I think the Hut is closer to work for me| [person:william m 0-0][location:pizza_hut s 3-3][person:william m 9-9]
roger| Okay sounds great See you there| [person:william m 4-4][location:pizza_hut s 5-5]
william| Over and out|

conv:people_2019081901_16:aug_0:chat_0:chataug_0| betty jill| [person:betty f 0-0][person:jill f 1-1]
betty| Hey Jill do you remember my friend Lori| [person:betty f 1-1][person:betty f 3-3][person:jill f 5-5][person:lori f 6-6][person:lori f 7-7]
jill| Yes I remember her from the party two weeks ago| [person:jill f 1-1][person:lori f 3-3][location:party s 6-6]
betty| Could you do me a huge favor Would you mind picking her up from the mall| [person:betty f 1-1][person:betty f 3-3][person:jill f 8-8][person:lori f 11-11][location:mall s 15-15]
jill| I would but I have a meeting with Gerald today I m so sorry| [person:jill f 0-0][person:jill f 3-3][person:gerald m 8-8][person:jill f 10-10]
betty| When s your meeting with Gerald Is there any way you can reschedule| [person:lori f 2-2][person:gerald m 5-5][person:jill f 10-10]
