conv:people_chats_04182020_260:aug_0:chat_0:chataug_0| anne klay| [person:anne f 0-0][person:klay m 1-1]
joan| Okay then fix a meeting with Kelly and brief her everything about this case| [person:joan f 6-6][person:kelly f 9-9]
karina| I will do it as soon as possible and also I think you should meet her too| [person:karina f 0-0][person:karina f 10-10][person:joan f 12-12][person:kelly f 15-15]
joan| Okay you finish fixing a meeting with her then I ll surely meet her| [person:karina f 1-1][person:kelly f 7-7][person:joan f 9-9][person:kelly f 13-13]

conv:people_chats_04182020_396:aug_0:chat_0:chataug_0| patricia shawn| [person:patricia f 0-0][person:shawn m 1-1]
patricia| Shawn let s plan a family trip and have a good time together| [person:shawn m 0-0][person:family g(patricia:shawn) 5-5]
shawn| That is a good idea we should go somewhere kids can enjoy| [person:family g(patricia:shawn) 5-5][person:kids g() 9-9]
shawn| What do you think about an amusement park I think kids will love it| [person:patricia f 2-2][location:amusement_park s 6-7][person:shawn m 8-8][person:kids g() 10-10][location:amusement_park s 13-13]
patricia| No that s not a good place for Evelyn as she is scared of roller coaster| [location:place s 6-6][person:evelyn f 8-8][person:evelyn f 10-10]
shawn| What about a water park then That would be a lot of fun| [location:park s 4-4]
patricia| Now here comes the problem with Shawn because he hates being in water for long time| [person:shawn m 6-6][person:shawn m 8-8]
patricia| How about we go to a place we ve never been to like Universal studios| [person:family g(patricia:shawn) 2-2][location:place s 6-6][person:family g(patricia:shawn) 7-7][location:universal_studios s 13-14]
shawn| That is a good idea it is both fun and safe We will have a great time| [location:universal_studios s 5-5][person:family g(patricia:shawn) 11-11]
patricia| Okay I ll inform kids and then we ll proceed| [person:patricia f 1-1][person:kids g() 4-4][person:family g(patricia:shawn) 7-7]
shawn| You do that and I will start the preparations for the vacation| [person:patricia f 0-0][person:shawn m 4-4]

conv:people_chats_04182020_397:aug_0:chat_0:chataug_0| amber jennifer| [person:amber f 0-0][person:jennifer f 1-1]
amber| Hi Jenifer How was the day today Are you free today| [person:jennifer f 8-8]
jennifer| Yeah It was as usual today neither low nor high Tell me what happened| [person:jennifer f 11-11]
amber| Shall we plan for the retirement party for our coworkers Cassie an Ivan| [person:we g(amber:jennifer) 1-1][person:we g(amber:jennifer) 8-8][person:coworkers g() 9-9][person:cassie f 10-10][person:ivan m 12-12]
jennifer| Hmm We shall plan for their retirement party| [person:we g(amber:jennifer) 1-1][person:coworkers g(cassie:ivan) 5-5]
amber| Okay Then share few idea s about the party with me| [person:amber f 10-10]
jennifer| We shall plan for a cake cutting and decorations| [person:we g(amber:jennifer) 0-0]
amber| Oh That s nice to here and also we can ask them to speak about their journey with the company| [person:we g(amber:jennifer) 8-8][person:coworkers g(cassie:ivan) 11-11][person:coworkers g(cassie:ivan) 15-15]
jennifer| Yeah that s nice What do you think of making them play some games| [person:amber f 6-6][person:coworkers g(cassie:ivan) 10-10]
amber| Yeah That is also a good idea Just make a list of things you think of and give it to me| [person:jennifer f 13-13][person:amber f 20-20]
jennifer| Okay I will give you the list today in the evening and we shall fix a day for the party| [person:jennifer f 1-1][person:amber f 4-4][person:we g(amber:jennifer) 12-12]

conv:people_chats_04182020_398:aug_0:chat_0:chataug_0| dustin rebecca| [person:dustin m 0-0][person:rebecca f 1-1]
rebecca| Hello Dustin do you remember we have to pick our friends Allen Valerie from airport| [person:dustin m 1-1][person:dustin m 3-3][person:we g(rebecca:dustin) 5-5][person:we g(rebecca:dustin) 9-9][person:friends g() 10-10][person:allen m 11-11][person:valerie f 12-12]
dustin| Hey Dustin I do remember Why are you so tensed| [person:dustin m 1-1][person:dustin m 2-2][person:rebecca f 7-7]
rebecca| You knew that Allen will be frustrated if are late to the airport| [person:dustin m 0-0][person:allen m 3-3]
dustin| I think you are overthinking about this issue please calm down| [person:dustin m 0-0][person:rebecca f 2-2]
rebecca| It is not overthinking we can t be late to the airport Let s leave early and wait there| [person:we g(rebecca:dustin) 4-4]
dustin| Okay let s leave early By that the time we leave finish your work and be ready| [person:we g(rebecca:dustin) 9-9][person:rebecca f 12-12]
rebecca| I m done with all my works and I m waiting for you Make sure we reach the airport by time| [person:rebecca f 0-0][person:rebecca f 5-5][person:rebecca f 8-8][person:dustin m 12-12][person:we g(rebecca:dustin) 15-15]
dustin| Don t worry Allen and Valerie will be late because they have so much luggage to carry| [person:allen m 3-3][person:valerie f 5-5][person:friends g(allen:valerie) 10-10]
rebecca| That s okay let s not waste time and we shall leave now| [person:we g(rebecca:dustin) 9-9]
dustin| Just give me 5 minutes I will be back very soon and shall start to the airport| [person:dustin m 2-2][person:dustin m 5-5]

conv:people_chats_04182020_399:aug_0:chat_0:chataug_0| cynthia julie| [person:cynthia f 0-0][person:julie f 1-1]
julie| Hey babe Where are you you Are you finished with the homework I m finding it difficult to answer these questions| [person:cynthia f 4-4][person:cynthia f 5-5][person:cynthia f 7-7][person:julie f 12-12]
cynthia| I am at home Don t get worried about algebra Even Stella and Angela are finding it difficult| [person:cynthia f 0-0][location:home s 3-3][person:stella f 11-11][person:angela f 13-13][location:home s 16-16]
julie| How can our teacher leave us without teaching proper basics This is very poor and I m gonna give a complaint to school management tomorrow| [person:our g(julie:cynthia:stella:angela) 2-2][person:us g(julie:cynthia:stella:angela) 5-5][person:julie f 15-15][location:school s 22-22]
cynthia| Relax yourself First of all we have to give our full effort trying learning that Then we will think about complaining others| [person:julie f 1-1][person:we g(julie:cynthia) 5-5][person:we g(julie:cynthia) 9-9][person:we g(julie:cynthia) 16-16][person:others g(stella:angela) 21-21]
julie| It is not a regular subject to understand easily And also it is really complex which most of us find it difficult to solve| [location:home s 0-0][location:home s 11-11][person:us g(julie:cynthia:stella:angela) 18-18][location:home s 20-20]
cynthia| Yes So we will discuss with Stella and Angela about this We have to consider their opinion very highly in this issue| [person:we g(julie:cynthia) 2-2][person:stella f 6-6][person:angela f 8-8][person:we g(julie:cynthia) 11-11][person:their g(stella:angela) 15-15]
julie| Look at the scores of Stella and Angela in other subjects They were the top performers in every semester and it s strange that people like them finding it difficult now| [person:stella f 5-5][person:angela f 7-7][person:they g(stella:angela) 11-11][person:they g(stella:angela) 26-26]
cynthia| That s what surprises me I don t understand what made them fall like this| [person:cynthia f 4-4][person:cynthia f 5-5][person:they g(stella:angela) 11-11]
julie| The school management has to take complete responsibility for this situation It even destroys the student confidence and they eventually loose hope in the other subjects too| [location:school s 1-1][person:they g(stella:angela) 18-18]
cynthia| I feel sleepy I don t want to waste anymore time by discussing this topic Lets come to a solution tomorrow You sleep well| [person:cynthia f 0-0][person:cynthia f 3-3][person:julie f 21-21]

conv:people_chats_04182020_400:aug_0:chat_0:chataug_0| jerry john| [person:jerry m 0-0][person:john m 1-1]
john| Hey Jerry Shall we go and watch the latest action movie| [person:jerry m 1-1][person:we g(john:jerry) 3-3]
jerry| Yeah sure who else is joining us for the movie| [person:we g(john:jerry) 6-6]
john| Louis will be joining us but we have to decide the timings| [person:louis m 0-0][person:we g(john:jerry) 4-4][person:we g(john:jerry) 6-6]
jerry| Okay We shall go today in the evening after my classes| [person:we g(john:jerry:louis) 1-1][person:jerry m 9-9]
john| Hey I just got a call from Louis and he told me that our friend Brian is not doing well| [person:john m 1-1][person:louis m 7-7][person:louis m 9-9][person:john m 11-11][person:we g(john:jerry) 13-13][person:brian m 14-14][person:brian m 15-15]
jerry| Oh my god It is very sad to hear about Brian What is his condition now| [person:jerry m 1-1][person:brian m 10-10][person:brian m 13-13]
john| I don t exactly But me and Louis will be going to see Brian Will you join us| [person:john m 0-0][person:john m 5-5][person:louis m 7-7][person:brian m 13-13][person:jerry m 15-15][person:us g(john:louis) 17-17]
jerry| Yeah sure I will join you guys and I will buy some fruits for him| [person:jerry m 2-2][person:us g(john:louis) 5-5][person:jerry m 8-8][person:brian m 14-14]
john| First I will go and pick up Louis from his house And then we will pick you up by 400 pm today| [person:john m 1-1][person:louis m 7-7][person:louis m 9-9][person:us g(john:louis) 13-13][person:jerry m 16-16]
jerry| Okay I will be ready in my home by 400 pm| [person:jerry m 1-1][person:jerry m 6-6][location:home s 7-7]

conv:people_chats_04182020_401:aug_0:chat_0:chataug_0| chloe sophia| [person:chloe f 0-0][person:sophia f 1-1]
chloe| Hey Sophia we have to plan the retirement party for our coworkers Tina and Christian suggest me some ideas| [person:sophia f 1-1][person:we g(chloe:sophia) 2-2][person:our g(chloe:sophia) 10-10][person:coworkers g() 11-11][person:tina f 12-12][person:christian m 14-14][person:chloe f 16-16]
sophia| Yeah I know even I m thinking that what can be done for the retirement party I was thinking that a cake cutting would be a good idea What do you think| [person:sophia f 1-1][person:sophia f 4-4][person:sophia f 16-16][person:chloe f 30-30]
chloe| Yeah besides cutting the cake we have to plan something new which mesmerizes them| [person:we g(chloe:sophia) 5-5][person:them g(tina:christian) 13-13]
sophia| Okay so what else shall we do in order to make Tina and Christian happy on the retirement party| [person:we g(chloe:sophia) 5-5][person:tina f 11-11][person:christian m 13-13]
chloe| We can try something different like presenting them some of the bonsai plants| [person:we g(chloe:sophia) 0-0][person:them g(tina:christian) 7-7]
sophia| Yeah that s a good idea and we can also have a speech about them in the party that would really make them feel special what do you think| [person:we g(chloe:sophia) 7-7][person:them g(tina:christian) 14-14][person:them g(tina:christian) 22-22][person:chloe f 27-27]
chloe| Yes even I thought that And I think this idea is good to proceed with the retirement| [person:chloe f 2-2][person:chloe f 6-6]
sophia| okay planning about the retirement party is done and now let us start with the execution part| [person:we g(chloe:sophia) 11-11]
chloe| Sure I will take care of Bonsai plants and the cake Will meet at the party| [person:chloe f 1-1]
sophia| Done I will look after the decoration part and will make sure everything goes well| [person:sophia f 1-1]

conv:people_chats_04182020_402:aug_0:chat_0:chataug_0| alexis bradley| [person:alexis f 0-0][person:bradley m 1-1]
alexis| Hey Bradley your sister Lauren s birthday is coming up and it is also our anniversary soon what are your plans for the occasion| [person:bradley m 1-1][person:bradley m 2-2][person:lauren f 3-3][person:lauren f 4-4][person:our g(alexis:bradley) 14-14][person:bradley m 19-19]
bradley| Yeah I was thinking about a family trip what do you think| [person:bradley m 1-1][person:family g(alexis:bradley:lauren) 6-6][person:alexis f 10-10]
alexis| I think it would be better if stay at home and celebrate together| [person:alexis f 0-0][location:home s 9-9]
bradley| What do you think Lauren would prefer on her birthday| [person:alexis f 2-2][person:lauren f 4-4][person:lauren f 8-8]
alexis| I have no idea what she likes Do you remember what she did for her last birthday| [person:alexis f 0-0][person:lauren f 5-5][person:bradley m 8-8][person:lauren f 11-11][person:lauren f 14-14]
bradley| I have no idea I think it is better to talk to her and then decide about it| [person:bradley m 0-0][person:bradley m 4-4][person:lauren f 12-12]
alexis| Alright I will talk to her and then we will make a plan for our celebration| [person:alexis f 1-1][person:lauren f 5-5][person:our g(alexis:bradley) 8-8][person:our g(alexis:bradley) 14-14]
bradley| Okay and I ll look after the materials that are needed for the party| [person:bradley m 2-2]
alexis| Alright then let s make this a memorable occasion|
bradley| Yeah we will have a blast this year| [person:our g(alexis:bradley) 1-1]

conv:people_chats_04182020_403:aug_0:chat_0:chataug_0| ashley bob| [person:ashley f 0-0][person:bob m 1-1]
ashley| Hey Bob What kind of book is that you are reading| [person:bob m 1-1][person:bob m 8-8]
bob| Hi Ashley It s a fantasy book Did you notice the couple sitting close by| [person:ashley f 1-1][person:ashley f 8-8][person:couple g() 11-11]
ashley| Yeah I know them They are Thomas and Britney and I spoke to them once| [person:ashley f 1-1][person:couple g() 3-3][person:couple g() 4-4][person:thomas m 6-6][person:britney f 8-8][person:ashley f 10-10][person:couple g(thomas:britney) 13-13]
